Time,Motion 1 motion,Motion 2 motion,Motion 3 motion,Motion 4 motion
18:11:47,,,,1
18:12:47,,,,0
18:14:36,,,,1
18:15:27,1,,,
18:15:33,,1,,
18:15:36,,,,0
18:15:38,,,1,
18:15:44,,,,1
18:16:29,0,,,
18:16:35,,0,,
18:16:38,,,0,
18:16:57,,,1,
18:17:04,,1,,
18:17:12,1,,,
18:18:06,,,,0
18:18:09,,,0,
18:18:13,,0,,
18:18:47,,1,,
18:18:54,,,1,
18:19:00,,,,1
18:19:42,0,,,
18:19:49,,0,,
18:19:51,,1,,
18:19:52,1,,,
18:21:04,,0,,
18:21:05,0,,,
18:21:07,,1,,
18:21:14,1,,,
18:23:07,0,,,
18:23:13,,0,,
18:23:17,,,0,
18:23:23,,,,0
18:24:17,,,,1
18:25:49,,,,0
18:26:07,,,,1
18:26:23,,,1,
18:26:30,,1,,
18:26:39,1,,,
18:28:08,,,0,
18:28:14,,0,,
18:28:17,0,,,
18:28:47,,,,0
18:31:43,,,,1
18:31:49,,,1,
18:31:54,,1,,
18:31:59,1,,,
18:32:46,,,,0
18:32:49,,,0,
18:32:56,,0,,
18:33:06,0,,,
18:37:02,,,,1
18:40:36,,,1,
18:40:42,,1,,
18:40:54,1,,,
18:42:21,,0,,
18:42:25,,,,0
18:42:26,0,,,
18:42:31,,,0,
18:43:04,,,1,
18:43:05,,,,1
18:43:27,1,,,
18:44:04,,,0,
18:44:09,,,,0
18:44:10,,,1,
18:44:16,,,,1
18:44:31,0,,,
18:45:03,1,,,
18:45:09,,1,,
18:45:12,,,0,
18:45:15,,,1,
18:45:20,,,,1
18:45:20,,,,0
18:46:04,0,,,
18:46:12,,0,,
18:46:16,,,0,
18:47:34,,,,0
18:48:55,,,,1
18:49:44,,1,,
18:49:50,,,1,
18:50:47,,0,,
18:50:52,,,0,
18:50:58,,,,0
18:52:47,,1,,
18:53:50,,0,,
18:54:13,1,,,
18:54:18,,1,,
18:54:23,,,1,
18:54:29,,,,1
18:55:16,0,,,
18:55:20,,0,,
18:55:26,,,0,
18:55:57,,,,0
18:58:52,,,,1
18:59:06,1,,,
18:59:11,,1,,
18:59:17,,,1,
19:00:08,0,,,
19:00:14,,0,,
19:00:19,,,0,
19:00:26,,,,0
19:00:33,,,,1
19:01:33,,,,0
19:02:53,,,,1
19:04:05,,,,0
19:12:28,,,,1
19:13:38,,,,0
19:17:01,,,,1
19:18:00,,,,0
19:18:05,,,,1
19:18:22,,,1,
19:18:29,,1,,
19:18:37,1,,,
19:19:26,,,0,
19:19:34,,0,,
19:19:40,0,,,
19:19:56,,,,0
19:20:16,1,,,
19:20:24,,1,,
19:20:28,,,1,
19:20:35,,,,1
19:21:43,0,,,
19:21:45,1,,,
19:23:28,,,0,
19:23:37,,,1,
19:24:30,0,,,
19:24:36,,0,,
19:24:41,,,0,
19:25:12,,,,0
19:25:24,,,,1
19:26:24,,,,0
19:27:09,1,,,
19:27:13,,1,,
19:27:18,,,1,
19:27:21,,,,1
19:28:11,0,,,
19:28:15,,0,,
19:28:20,,,0,
19:29:01,,,1,
19:29:06,,1,,
19:29:13,1,,,
19:30:04,,,0,
19:30:09,,0,,
19:30:14,0,,,
19:31:03,1,,,
19:31:21,,,,0
19:31:36,,1,,
19:31:41,,,1,
19:31:47,,,,1
19:33:12,,,0,
19:33:17,,0,,
19:33:19,,,1,
19:33:21,0,,,
19:33:25,,1,,
19:33:32,1,,,
19:34:15,,,,0
19:34:21,,,0,
19:34:27,,0,,
19:34:35,0,,,
19:36:33,,,,1
19:36:41,,,1,
19:36:45,,1,,
19:36:52,1,,,
19:37:37,,,,0
19:37:43,,,0,
19:37:47,,0,,
19:37:53,,,,1
19:37:54,0,,,
19:38:54,,,,0
19:39:50,,,,1
19:39:56,,,1,
19:40:02,,1,,
19:40:09,1,,,
19:41:00,,,0,
19:41:06,,0,,
19:41:13,0,,,
19:41:16,,,,0
19:44:03,1,,,
19:44:11,,1,,
19:44:18,,,1,
19:44:31,,,,1
19:45:08,0,,,
19:45:15,,0,,
19:45:28,,,0,
19:45:34,,,,0
